Wenn nicht mehr Zahlen und Figuren

Gottlob! sind selten Landeskinder.	Annoyance

Auch Gottesleugner sind es meist;	Annoyance
Wer sich von seinem Gotte reißt,	Annoyance
Wird endlich auch abtrünnig werden	Annoyance
Von seinen irdischen Behörden.	Annoyance

Der Obrigkeit gehorchen, ist	Annoyance
Die erste Pflicht für Jud und Christ.	Annoyance
Es schließe jeder seine Bude	Annoyance
Sobald es dunkelt, Christ und Jude.	Annoyance

Wo ihrer drei beisammen stehn,	Annoyance
Da soll man auseinander gehn.	Annoyance
Des Nachts soll niemand auf den Gassen	Annoyance
Sich ohne Leuchte sehen lassen.	Annoyance

Es liefre seine Waffen aus	Annoyance
Ein jeder in dem Gildenhaus;	Annoyance
Auch Munition von jeder Sorte	Annoyance
Wird deponiert am selben Orte.	Annoyance

Wer auf der Straße räsoniert,	Annoyance --- Humor
Wird unverzüglich füsiliert;	Annoyance --- Humor
Das Räsonieren durch Gebärden	Annoyance --- Humor
Soll gleichfalls hart bestrafet werden.	Annoyance --- Humor

Vertrauet Eurem Magistrat,	Annoyance --- Humor
Der fromm und liebend schützt den Staat	Annoyance --- Humor
Durch huldreich hochwohlweises Walten;	Annoyance --- Humor
Euch ziemt es, stets das Maul zu halten.	Annoyance --- Humor


Ganymed

Wie im Morgenglanze	Beauty / Joy
du rings mich anglühst,	Beauty / Joy
Frühling, Geliebter!	Beauty / Joy
Mit tausendfacher Liebeswonne	Beauty / Joy
sich an mein Herz drängt	Beauty / Joy
deiner ewigen Wärme	Beauty / Joy
heilig Gefühl,	Beauty / Joy
unendliche Schöne!	Beauty / Joy

Daß ich dich fassen möcht'	Vitality
in diesen Arm!	Vitality
Ich komm'! Ich komme!	Vitality
Wohin? Ach, wohin?	Vitality

Hinauf! Hinauf strebt's.	Vitality
Es schweben die Wolken	Vitality
abwärts, die Wolken	Vitality
neigen sich der sehnenden Liebe.	Vitality
Mir! Mir!	Vitality
In euerm Schoße	Vitality
aufwärts!	Vitality
Umfangend umfangen!	Vitality
Aufwärts an deinen Busen,	Vitality
alliebender Vater!	Vitality

Ach, an deinem Busen	Beauty / Joy
lieg' ich, schmachte,	Beauty / Joy
und deine Blumen, dein Gras	Beauty / Joy
drängen sich an mein Herz.	Beauty / Joy
Du kühlst den brennenden	Beauty / Joy
Durst meines Busens,	Beauty / Joy
lieblicher Morgenwind,	Beauty / Joy
ruft drein die Nachtigall	Beauty / Joy
liebend nach mir aus dem Nebeltal.	Beauty / Joy


Die zwei Gesellen

Es zogen zwei rüstge Gesellen	Vitality
Zum erstenmal von Haus,	Vitality
So jubelnd recht in die hellen,	Vitality
Klingenden, singenden Wellen	Vitality
Des vollen Frühlings hinaus.	Vitality

Die strebten nach hohen Dingen,	Beauty / Joy
Die wollten, trotz Lust und Schmerz,	Beauty / Joy
Was Rechts in der Welt vollbringen,	Beauty / Joy
Und wem sie vorübergingen,	Beauty / Joy
Dem lachten Sinn und Herz. -	Beauty / Joy

Der erste, der fand ein Liebchen,	Beauty / Joy
Die Schwieger kauft´ Hof und Haus;	Beauty / Joy
Der wiegte gar bald ein Bübchen,	Beauty / Joy
Und sah aus heimlichem Stübchen	Beauty / Joy
Behaglich ins Feld hinaus.	Beauty / Joy

Dem zweiten sangen und logen	Uneasiness
Die tausend Stimmen im Grund,	Uneasiness
Verlockend´ Sirenen, und zogen	Uneasiness
Ihn in der buhlenden Wogen	Uneasiness
Farbig klingenden Schlund.	Uneasiness

Und wie er auftaucht vom Schlunde,	Sadness
Da war er müde und alt,	Sadness
Sein Schifflein das lag im Grunde,	Sadness
So still wars rings in der Runde,	Sadness
Und über die Wasser wehts kalt.	Sadness

Es singen und klingen die Wellen	Beauty / Joy
Des Frühlings wohl über mir;	Beauty / Joy
Und seh ich so kecke Gesellen,	Nostalgia --- Sadness
Die Tränen im Auge mir schwellen -	Nostalgia --- Sadness
Ach Gott, führ mich liebreich zu Dir!	Nostalgia --- Sadness


Fabrikstraße Tags

Nichts als Mauern. Ohne Gras und Glas	Sadness
zieht die Straße den gescheckten Gurt	Sadness
der Fassaden. Keine Bahnspur surrt.	Sadness
Immer glänzt das Pflaster wassernass.	Sadness

Streift ein Mensch dich, trifft sein Blick dich kalt	Uneasiness
bis ins Mark; die harten Schritte haun	Uneasiness
Feuer aus dem turmhoch steilen Zaun,	Uneasiness
noch sein kurzer Atem wolkt geballt.	Uneasiness

Keine Zuchthauszelle klemmt	Uneasiness --- Awe / Sublime
so in Eis das Denken wie dies Gehn	Uneasiness --- Awe / Sublime
zwischen Mauern, die nur sich besehn.	Uneasiness --- Awe / Sublime

Trägst Du Purpur oder Büßerhemd -:	Awe / Sublime
immer drückt mit riesigem Gewicht	Awe / Sublime
Gottes Bannfluch: uhrenlose Schicht.	Awe / Sublime


Umbra Vitae / Die Menschen stehen vorwärts in den Straßen

Die Menschen stehen vorwärts in den Straßen	Suspense
Und sehen auf die großen Himmelszeichen,	Suspense
Wo die Kometen mit den Feuernasen	Uneasiness
Um die gezackten Türme drohend schleichen.	Uneasiness

Und alle Dächer sind voll Sternedeuter,	Beauty / Joy
Die in den Himmel stecken große Röhren.	Beauty / Joy
Und Zaubrer, wachsend aus den Bodenlöchern,	Beauty / Joy
In Dunkel schräg, die einen Stern beschwören.	Beauty / Joy

Krankheit und Mißwachs durch die Tore kriechen	Uneasiness
In schwarzen Tüchern. Und die Betten tragen	Uneasiness
Das Wälzen und das Jammern vieler Siechen,	Uneasiness
Und welche rennen mit den Totenschragen.	Uneasiness

Selbstmörder gehen nachts in großen Horden,	Sadness
Die suchen vor sich ihr verlornes Wesen,	Sadness
Gebückt in Süd und West, und Ost und Norden,	Sadness
Den Staub zerfegend mit den Armen-Besen.	Sadness

Sie sind wie Staub, der hält noch eine Weile,	Sadness
Die Haare fallen schon auf ihren Wegen,	Sadness
Sie springen, daß sie sterben, 'nun' in Eile,	Sadness
Und sind mit totem Haupt im Feld gelegen.	Sadness

Noch manchmal zappelnd. Und der Felder Tiere	Uneasiness
Stehn um sie blind, und stoßen mit dem Horne	Uneasiness
In ihren Bauch. Sie strecken alle viere	Uneasiness
Begraben unter Salbei und dem Dorne.	Uneasiness

Das Jahr ist tot und leer von seinen Winden,	Sadness
Das wie ein Mantel hängt voll Wassertriefen,	Sadness
Und ewig Wetter, die sich klagend winden	Sadness
Aus Tiefen wolkig wieder zu den Tiefen.]	Sadness

Die Meere aber stocken. In den Wogen	Sadness
Die Schiffe hängen modernd und verdrossen,	Sadness
Zerstreut, und keine Strömung wird gezogen	Sadness
Und aller Himmel Höfe sind verschlossen.	Sadness

Die Bäume wechseln nicht die Zeiten	Sadness
Und bleiben ewig tot in ihrem Ende	Sadness
Und über die verfallnen Wege spreiten	Sadness
Sie hölzern ihre langen Finger-Hände.	Sadness

Wer stirbt, der setzt sich auf, sich zu erheben,	Awe / Sublime
Und eben hat er noch ein Wort gesprochen.	Awe / Sublime
Auf einmal ist er fort. Wo ist sein Leben?	Awe / Sublime --- Sadness
Und seine Augen sind wie Glas zerbrochen.	Awe / Sublime --- Sadness

Schatten sind viele. Trübe und verborgen.	Sadness
Und Träume, die an stummen Türen schleifen,	Sadness
Und der erwacht, bedrückt von andern Morgen,	Sadness
Muß schweren Schlaf von grauen Lidern streifen.	Sadness


Der frohe Wandersmann

Wem Gott will rechte Gunst erweisen,	Awe / Sublime --- Beauty / Joy
Den schickt er in die weite Welt;	Awe / Sublime --- Beauty / Joy
Dem will er seine Wunder weisen	Awe / Sublime --- Beauty / Joy
In Berg und Wald und Strom und Feld.	Awe / Sublime --- Beauty / Joy

Die Trägen, die zu Hause liegen,	Sadness
Erquicket nicht das Morgenrot,	Sadness
Sie wissen nur von Kinderwiegen,	Sadness
Von Sorgen, Last und Not um Brot.	Sadness

Die Bächlein von den Bergen springen,	Vitality --- Beauty / Joy
Die Lerchen schwirren hoch vor Lust,	Vitality --- Beauty / Joy
Was sollt ich nicht mit ihnen singen	Vitality --- Beauty / Joy
Aus voller Kehl und frischer Brust?	Vitality --- Beauty / Joy

Den lieben Gott lass ich nur walten;	Awe / Sublime --- Beauty / Joy
Der Bächlein, Lerchen, Wald und Feld	Awe / Sublime --- Beauty / Joy
Und Erd und Himmel will erhalten,	Awe / Sublime --- Beauty / Joy
Hat auch mein Sach aufs best bestellt!	Awe / Sublime --- Beauty / Joy


Berlin VIII

Schornsteine stehn in großem Zwischenraum	Beauty / Joy
Im Wintertag, und tragen seine Last,	Beauty / Joy
Des schwarzen Himmels dunkelnden Palast.	Beauty / Joy
Wie goldne Stufe brennt sein niedrer Saum.	Beauty / Joy

Fern zwischen kahlen Bäumen, manchem Haus,	Uneasiness
Zäunen und Schuppen, wo die Weltstadt ebbt,	Uneasiness
Und auf vereisten Schienen mühsam schleppt	Uneasiness
Ein langer Güterzug sich schwer hinaus.	Uneasiness

Ein Armenkirchhof ragt, schwarz, Stein an Stein,	Uneasiness
Die Toten schaun den roten Untergang	Uneasiness
Aus ihrem Loch. Er schmeckt wie starker Wein.	Uneasiness

Sie sitzen strickend an der Wand entlang,	Uneasiness
Mützen aus Ruß dem nackten Schläfenbein,	Uneasiness
Zur Marseillaise, dem alten Sturmgesang.	Uneasiness


Herbsttag

Herr, es ist Zeit. Der Sommer war sehr groß.	Vitality --- Awe / Sublime
Leg deinen Schatten auf die Sonnenuhren,	Vitality --- Awe / Sublime
und auf den Fluren lass die Winde los.	Vitality --- Awe / Sublime

Befiehl den letzten Früchten, voll zu sein;	Vitality --- Awe / Sublime
gib ihnen noch zwei südlichere Tage,	Vitality --- Awe / Sublime
dränge sie zur Vollendung hin, und jage	Vitality --- Awe / Sublime
die letzte Süße in den schweren Wein.	Vitality --- Awe / Sublime

Wer jetzt kein Haus hat, baut sich keines mehr.	Sadness
Wer jetzt allein ist, wird es lange bleiben,	Sadness
wird wachen, lesen, lange Briefe schreiben	Nostalgia --- Sadness
und wird in den Alleen hin und her	Nostalgia --- Sadness
unruhig wandern, wenn die Blätter treiben.	Nostalgia --- Sadness


Prometheus / Bedecke deinen Himmel, Zeus

Bedecke deinen Himmel, Zeus,	Beauty / Joy --- Suspense
Mit Wolkendunst!	Beauty / Joy --- Suspense
Und übe, Knaben gleich,	Beauty / Joy --- Suspense
Der Disteln köpft,	Beauty / Joy --- Suspense
An Eichen dich und Bergeshöh'n!	Beauty / Joy --- Suspense
Mußt mir meine Erde	Beauty / Joy --- Suspense
Doch lassen steh'n,	Beauty / Joy --- Suspense
Und meine Hütte,	Beauty / Joy --- Suspense
Die du nicht gebaut,	Beauty / Joy --- Suspense
Und meinen Herd,	Beauty / Joy --- Suspense
Um dessen Glut	Beauty / Joy --- Suspense
Du mich beneidest.	Beauty / Joy --- Suspense

Ich kenne nichts Ärmeres	Annoyance
Unter der Sonn' als euch Götter!	Annoyance
Ihr nähret kümmerlich	Annoyance
Von Opfersteuern	Annoyance
Und Gebetshauch	Annoyance
Eure Majestät	Annoyance
Und darbtet, wären	Annoyance
Nicht Kinder und Bettler	Annoyance
Hoffnungsvolle Toren.	Annoyance

Da ich ein Kind war,	Nostalgia --- Beauty / Joy
Nicht wußte, wo aus, wo ein,	Nostalgia --- Beauty / Joy
Kehrt' ich mein verirrtes Auge	Nostalgia --- Beauty / Joy
Zur Sonne, als wenn drüber wär	Nostalgia --- Beauty / Joy
Ein Ohr zu hören meine Klage,	Nostalgia --- Beauty / Joy
Ein Herz wie meins,	Nostalgia --- Beauty / Joy
Sich des Bedrängten zu erbarmen.	Nostalgia --- Beauty / Joy

Wer half mir	Annoyance --- Vitality
Wider der Titanen Übermut?	Annoyance --- Vitality
Wer rettete vom Tode mich,	Annoyance --- Vitality
Von Sklaverei?	Annoyance --- Vitality
Hast du's nicht alles selbst vollendet,	Annoyance --- Vitality
Heilig glühend Herz?	Annoyance --- Vitality
Und glühtest, jung und gut,	Annoyance --- Vitality
Betrogen, Rettungsdank	Annoyance --- Vitality
Dem Schlafenden dadroben?	Annoyance --- Vitality

Ich dich ehren? Wofür?	Annoyance --- Vitality
Hast du die Schmerzen gelindert	Annoyance --- Vitality
Je des Beladenen?	Annoyance --- Vitality
Hast du die Tränen gestillet	Annoyance --- Vitality
Je des Geängsteten?	Annoyance --- Vitality
Hat nicht mich zum Manne geschmiedet	Vitality --- Awe / Sublime
Die allmächtige Zeit	Vitality --- Awe / Sublime
Und das ewige Schicksal,	Vitality --- Awe / Sublime
Meine Herren und deine?	Vitality --- Awe / Sublime

Wähntest du etwa,	Vitality
Ich sollte das Leben hassen,	Vitality
In Wüsten fliehn,	Vitality
Weil nicht alle Knabenmorgen-	Vitality
Blütenträume reiften?	Vitality

Hier sitz' ich, forme Menschen	Beauty / Joy --- Awe / Sublime
Nach meinem Bilde,	Beauty / Joy --- Awe / Sublime
Ein Geschlecht, das mir gleich sei,	Beauty / Joy --- Awe / Sublime
Zu leiden, weinen,	Beauty / Joy --- Awe / Sublime
Genießen und zu freuen sich,	Beauty / Joy --- Awe / Sublime
Und dein nicht zu achten,	Beauty / Joy --- Awe / Sublime
Wie ich!	Beauty / Joy --- Awe / Sublime


Untreu

Dein Lächeln weint in meiner Brust	Sadness
Die glutverbissnen Lippen eisen	Sadness
Im Atem wittert Laubgewelk!	Sadness
Dein Blick versargt	Sadness
Und	Sadness
Hastet polternd Worte drauf.	Sadness
Vergessen	Sadness
Bröckeln nach die Hände!	Sadness
Frei	Sadness
Buhlt dein Kleidsaum	Sadness
Schlenkrig	Sadness
Drüber rüber!	Sadness


Carpe diem

Ich empfinde fast ein Grauen,	Suspense
dass ich, Plato, für und für	Suspense
bin gesessen über dir.	Suspense
Es ist Zeit hinauszuschauen	Vitality
und sich bei den frischen Quellen	Vitality
in dem Grünen zu ergehn.	Vitality
wo die schönen Blumen stehn	Vitality
und die Fischer Netze stellen!	Vitality

Wozu dienet das Studieren	Sadness
als zu lauter Ungemach!	Sadness
Unterdessen läuft die Bach	Sadness
unsers Lebens, das wir führen,	Sadness
ehe wir es inne werden,	Sadness
auf ihr letztes Ende hin:	Sadness
dann kömmt ohne Geist und Sinn	Sadness
dieses alles in die Erden.	Sadness

Holla, Junger, geh und frage,	Vitality
wo der beste Trunk mag sein,	Vitality
nimm den Krug und fülle Wein!	Vitality
Alles Trauren, Leid und Klage,	Vitality
wie wir Menschen täglich haben,	Vitality
eh uns Clotho fortgerafft,	Vitality
will ich in den süssen Saft,	Vitality
den die Traube gibt, vergraben.	Vitality

Kaufe gleichfalls auch Melonen	Humor
und vergiss des Zuckers nicht,	Humor
schaue nur, dass nichts gebricht!	Humor
Jener mag der Heller schonen,	Humor
der bei seinem Gold und Schätzen	Humor
tolle sich zu kränken pflegt	Humor
und nicht satt zu Bette legt;	Humor
ich will, weil ich kann, mich letzen!	Humor

Bitte meine guten Brüder	Vitality
auf die Musik und ein Glas!	Vitality
Kein Ding schickt sich, dünkt mich, bass	Vitality
als gut Trank und gute Lieder.	Vitality
Lass ich gleich nicht viel zu erben,	Vitality --- Humor
ei, so hab ich edlen Wein!	Vitality --- Humor
Will mit andern lustig sein,	Vitality --- Humor
muss ich gleich alleine sterben.	Vitality --- Humor


Im Winter

Der Winter ist ein rechter Mann,	Humor
kernfest und auf die Dauer;	Humor
sein Fleisch fühlt sich wie Eisen an.	Humor
Er scheut nicht süß noch sauer.	Humor

Er zieht sein Hemd im Freien an	Humor
Und läßt‘s vorher nicht wärmen,	Humor
Und spottet über Fluß im	Humor
Und Kolik in Gedärmen.	Humor

Aus Blumen und aus Vogelsang	Humor
Weiß er sich nichts zu machen,	Humor
Haßt warmen Drang und warmen Klang	Humor
Und alle warmen Sachen.	Humor

Doch wenn die Füchse bellen sehr,	Uneasiness
Wenn‘s Holz im Ofen knittert,	Uneasiness
Und an dem Ofen Knecht und Herr	Uneasiness
Die Hände reibt und zittert,	Uneasiness

Wenn Stein und Bein vor Frost zerbricht	Uneasiness
und Teich und Seen krachen;	Uneasiness
das klingt ihm gut, das haßt er nicht,	Humor
dann will er sich totlachen.	Humor

Sein Schloß von Eis liegt ganz hinaus	Humor
beim Nordpol an dem Strande;	Humor
doch hat er auch ein Sommerhaus	Humor
im lieben Schweizerlande.	Humor

Da ist er denn bald dort bald hier,	Humor
gut Regiment zu führen,	Humor
und wenn er durchzieht stehn wir	Humor
und sehn ihn an und frieren.	Humor


Kriegslied

Sengen, brennen, schießen, stechen,	Uneasiness
Schädel spalten, Rippen brechen,	Uneasiness
spionieren, requirieren,	Uneasiness
patrouillieren, exerzieren,	Uneasiness
fluchen, bluten, hungern, frieren ...	Uneasiness
So lebt der edle Kriegerstand,	Annoyance
die Flinte in der linken Hand,	Annoyance
das Messer in der rechten Hand –	Annoyance
mit Gott, mit Gott, mit Gott,	Annoyance
mit Gott für König und Vaterland.	Annoyance

Aus dem Bett von Lehm und Jauche	Uneasiness
zur Attacke auf dem Bauche!	Uneasiness
Trommelfeuer – Handgranaten –	Annoyance --- Uneasiness
Wunden – Leichen – Heldentaten –	Annoyance --- Uneasiness
bravo, tapfere Soldaten!	Annoyance
So lebt der edle Kriegerstand,	Annoyance
das Eisenkreuz am Preußenband,	Annoyance
die Tapferkeit am Bayernband,	Annoyance
mit Gott, mit Gott, mit Gott,	Annoyance
mit Gott für König und Vaterland.	Annoyance

Stillgestanden! Hoch die Beine!	Annoyance
Augen gradeaus, ihr Schweine!	Annoyance
Visitiert und schlecht befunden.	Annoyance
Keinen Urlaub. Angebunden.	Annoyance
Strafdienst extra sieben Stunden.	Annoyance
So lebt der edle Kriegerstand.	Annoyance
Jawohl, Herr Oberleutenant!	Annoyance
Und zu Befehl, Herr Leutenant!	Annoyance
Mit Gott, mit Gott, mit Gott,	Annoyance
mit Gott für König und Vaterland.	Annoyance

Vorwärts mit Tabak und Kümmel!	Annoyance
Bajonette. Schlachtgetümmel.	Annoyance
Vorwärts! Sterben oder Siegen!	Annoyance
Deutscher kennt kein Unterliegen.	Annoyance
Knochen splittern, Fetzen fliegen.	Annoyance
So lebt der edle Kriegerstand.	Annoyance
Der Schweiß tropft in den Grabenrand,	Annoyance --- Uneasiness
das Blut tropft in den Straßenrand,	Annoyance --- Uneasiness
mit Gott, mit Gott, mit Gott,	Annoyance
mit Gott für König und Vaterland.	Annoyance

Angeschossen – hochgeschmissen –	Annoyance --- Uneasiness
Bauch und Därme aufgerissen.	Annoyance --- Uneasiness
Rote Häuser – blauer Äther –	Annoyance
Teufel! Alle heiligen Väter! ...	Annoyance
Mutter! Mutter!! Sanitäter!!!	Annoyance
So stirbt der edle Kriegerstand,	Annoyance
in Stiefel, Maul und Ohren Sand	Annoyance
und auf das Grab drei Schippen Sand –	Annoyance
mit Gott, mit Gott, mit Gott,	Annoyance
mit Gott für König und Vaterland.	Annoyance


Auf meinen bestürmeten Lebens-Lauff

Wie sehr der Wirbelstrom so vieler Angst und plagen	Beauty / Joy
mich drähet um und um / so bistu doch mein Hort	Beauty / Joy
mein mittel punct / in dem mein Zirkel fort und fort	Beauty / Joy
mein Geist halb hafften bleibt vom sturm unausgeschlagen.	Beauty / Joy

Mein Zünglein stehet stät / von Wellen fort getragen	Beauty / Joy --- Vitality
auf meinen Stern gericht. Mein Herz und Aug′ ist dort	Beauty / Joy --- Vitality
es wartet schon auf mich am Ruhe-vollen Port:	Beauty / Joy --- Vitality
dieweil muß ich mich keck in weh und See hinwagen.	Beauty / Joy --- Vitality

Offt will der Muht / der Mast / zu tausend trümmern springen.	Sadness
Bald thun die Ruder-Knecht / die sinnen / keinen Zug.	Sadness
Bald kan ich keinen Wind in glaubens-Segel bringen.	Sadness

Jetz hab ich / meine Uhr zu richten / keinen fug.	Sadness
Dann wollen mich die Wind auf andre zufahrt dringen,	Sadness
bring′ an den Hafen mich / mein GOtt / es ist genug!	Sadness --- Vitality


Das Hungerlied

Verehrter Herr und König,	Suspense
Weißt du die schlimme Geschicht?	Suspense
Am Montag aßen wir wenig,	Annoyance
Und am Dienstag aßen wir nicht.	Annoyance

Und am Mittwoch mußten wir darben,	Annoyance
Und am Donnerstag litten wir Not;	Annoyance
Und ach, am Freitag starben	Annoyance
Wir fast den Hungertod!	Annoyance

Drum laß am Samstag backen	Humor
Das Brot, fein säuberlich -	Humor
Sonst werden wir sonntags packen	Humor
Und fressen, o König, dich!	Humor


Stadt

Zehntausend starre Blöcke sind im Tal errichtet,	Suspense --- Uneasiness
Aus: Stein auf Stein um Holz- und Eisenroste hochgeschichtet;	Suspense --- Uneasiness
Und Block an Block zu einem Berg gedrückt,	Suspense --- Uneasiness
Von Dampfrohr, Turm und Bahn noch überbrückt,	Suspense --- Uneasiness
Von Draht, der Netz an Netze spinnt.	Suspense --- Uneasiness
Der Berg, von vielen Furchen tief durchwühlt:	Suspense --- Uneasiness
Das ist das große Labyrinth,	Uneasiness --- Awe / Sublime
Dadurch das Schicksal Mensch um Menschen spült.	Uneasiness --- Awe / Sublime

Fünfhunderttausend rollt im Kreis das große Leben	Awe / Sublime
Durch alle Rinnen fort und fort in ungeheurem Streben:	Awe / Sublime
In Kaufhaus, Werkstatt, Saal und Bahnhofshalle,	Awe / Sublime
In Schule, Park, am Promenadenwalle,	Awe / Sublime
Im Fahrstuhlschacht, im Bau am Krahn,	Awe / Sublime
Treppauf und ab, durch Straßen über Plätze,	Awe / Sublime
Auf Wagen, Rad und Straßenbahn:	Awe / Sublime
Da schäumt des Menschenstrudels wirre Hetze.	Awe / Sublime

Fünfhunderttausend Menschen rollt das große Leben	Awe / Sublime
Durch alle Rinnen fort und fort in ungeheurem Streben.	Awe / Sublime
Und karrt der Tod auch Hundert täglich fort,	Awe / Sublime
Es braust der Lärm wie sonst an jedem Ort.	Awe / Sublime
Schleppt er vom Hammer-Block den Schmied,	Awe / Sublime --- Uneasiness
Schleppt er vom Kurven-Gleis den Wagenleiter:	Awe / Sublime --- Uneasiness
Noch stärker brüllt das Straßenlied:	Awe / Sublime --- Uneasiness
Der Wagen fährt - der Hammer dröhnt weiter.	Awe / Sublime --- Uneasiness


An die Parzen

Nur Einen Sommer gönnt, ihr Gewaltigen!	Vitality
Und einen Herbst zu reifem Gesange mir,	Vitality
Daß williger mein Herz, vom süßen	Vitality
Spiele gesättiget, dann mir sterbe.	Vitality

Die Seele, der im Leben ihr göttlich Recht	Sadness --- Awe / Sublime
Nicht ward, sie ruht auch drunten im Orkus nicht;	Sadness --- Awe / Sublime
Doch ist mir einst das Heil'ge, das am	Beauty / Joy
Herzen mir liegt, das Gedicht gelungen,	Beauty / Joy

Willkommen dann, o Stille der Schattenwelt!	Vitality
Zufrieden bin ich, wenn auch mein Saitenspiel	Vitality
Mich nicht hinab geleitet; Einmal	Vitality
Lebt ich, wie Götter, und mehr bedarfs nicht.	Awe / Sublime


Die Stadt

Sehr weit ist diese Nacht. Und Wolkenschein	Beauty / Joy
Zerreißet vor des Mondes Untergang.	Beauty / Joy
Und tausend Fenster stehn die Nacht entlang	Beauty / Joy
Und blinzeln mit den Lidern, rot und klein.	Beauty / Joy

Wie Aderwerk gehn Straßen durch die Stadt,	Sadness
Unzählig Menschen schwemmen aus und ein.	Sadness
Und ewig stumpfer Ton von stumpfem Sein	Sadness
Eintönig kommt heraus in Stille matt.	Sadness

Gebären, Tod, gewirktes Einerlei,	Uneasiness
Lallen der Wehen, langer Sterbeschrei,	Uneasiness
Im blinden Wechsel geht es dumpf vorbei.	Uneasiness

